Drug_ID	Drug	Y
"Drug 9956"	"Cl.NCCNCCN1C(=O)c2cccc3cccc(c23)C1=O"	0
"Drug 9957"	"O=C1c2cc([N+](=O)[O-])cc3cc([N+](=O)[O-])cc(c23)C(=O)N1CCNCCN1C(=O)c2cc([N+](=O)[O-])cc3cc([N+](=O)[O-])cc(c23)C1=O"	0
"Drug 9958"	"CN(CCN1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O)CCN1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O"	0
"Drug 9959"	"CN(CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O.Cl"	0
"Drug 9960"	"O=[N+]([O-])c1ccc(C2=Nc3ccccc3N=C(c3ccccc3O)C2)cc1"	0
"Drug 9961"	"COc1ccccc1C1=Nc2ccccc2N=C(c2ccccc2O)C1"	0
"Drug 9962"	"CSCC(NP1(=O)SC(NN=C(C)C)=NC1(C)C)C(=O)O"	0
"Drug 9963"	"CC(C)=NNC1=NC(C)(C)P(=O)(N2CCCC2C(=O)O)S1"	0
"Drug 9964"	"CC(C)C1CN1CC(O)Cn1ccnc1[N+](=O)[O-]"	0
"Drug 9965"	"CCN(CC)CCOc1ccccc1C=Cc1noc2ccccc12.Cl"	0
"Drug 9966"	"O=C1Sc2ccccc2Cn2cccc21"	0
"Drug 9967"	"CCOC(=O)c1c(C)c(N=O)c2ccccn12"	0
"Drug 9968"	"Cc1cc2ccc([N+](=O)[O-])cn2c1"	0
"Drug 9969"	"Cc1cc(C#N)c[n+](C)c1.[I-]"	0
"Drug 9970"	"O=C(O)CSc1cc2c3ccccc3sc2c2ccccc12"	0
"Drug 9971"	"Br.CCN(CC)C(C)(C)C(=O)C=Cc1ccc(C)cc1"	0
"Drug 9972"	"O=NNc1ccccn1.OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O.[NaH]"	0
"Drug 9973"	"COC(=O)NC1(NC(=O)OC)NC(=O)c2ccccc2N1"	0
"Drug 9974"	"COC(=O)Nc1nc(O)c2ccccc2n1"	0
"Drug 9975"	"O=C(Nc1ccc(Br)c2ccccc12)c1ccc2ccccc2c1O"	0
"Drug 9976"	"CCCCS(=O)(=O)CCC(N)C(=O)O"	0
"Drug 9977"	"CCCCS(=O)CCC(N)C(=O)O"	0
"Drug 9978"	"Oc1ncnc2cccc(Cl)c12"	0
"Drug 9979"	"NNc1ncnc2cccc(Cl)c12"	0
"Drug 9980"	"O=S(=O)(O)c1ccc(-c2nnc(-c3ccccn3)nc2-c2ccc(S(=O)(=O)O)o2)o1.[NaH]"	0
"Drug 9981"	"COC(=O)c1cc([O-])c2sc(C)c(C)[n+]2n1"	0
"Drug 9982"	"COC(=O)c1cc(O)c2scc(C)[n+]2n1.[Cl-]"	0
"Drug 9983"	"CCCCCCCCCCCCC1C(=O)NCCNCCCNCCNC1=O"	0
"Drug 9984"	"O=[N+]([O-])c1ccc(Sc2c3ccccc3nc3ccccc23)cn1"	0
"Drug 9985"	"COc1cc([N+](=O)[O-])c(S(=O)(=O)O)cc1-n1nc(C(=O)Nc2ccccc2)n[n+]1-c1cc(S(=O)(=O)[O-])c([N+](=O)[O-])cc1OC.[NaH]"	0
"Drug 9986"	"CC=CC=Cc1cc2cc3c(c(O)c2c(O)n1)C1(CC3)C(=O)c2c(O)c3c(c(O)c2C1=O)C(=O)C(OC)=CC3=O.[KH]"	0
"Drug 9987"	"COc1cc(C2c3cc4c(cc3OC3(O)COC(=O)C23)OCO4)cc(OC)c1OC"	0
"Drug 9988"	"COC(=O)C1=COC(C)C2CN3CCC4(C(=O)Nc5ccccc54)C3CC12"	0
"Drug 9989"	"CCN(CC)C(=O)c1cccc2c1OCO2"	0
"Drug 9990"	"O=C(C[P+](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1.[Cl-]"	0
"Drug 9991"	"CC1(C)CC(=O)C(=[N+]=[N-])C(=O)C1"	0
"Drug 9992"	"COC(=O)NC1=Nc2ccccc2C(=O)NN1"	0
"Drug 9993"	"COC(=O)Nc1nc(O)c2cc(OC)c(OC)cc2n1"	0
"Drug 9994"	"COC(=O)NC1(NC(=O)OC)NC(=O)c2cc(OC)c(OC)c(OC)c2N1"	0
"Drug 9995"	"COC(=O)NC1(NC(=O)OC)NC(=O)c2cc(OC)c(OC)cc2N1"	0
"Drug 9996"	"CC1C(N2CCCC2)=CC(=O)OC1c1ccccc1"	0
"Drug 9997"	"O=c1nc2n(cc1F)C1OC(CCl)C(O)C1O2"	0
"Drug 9998"	"Cc1cn2c(nc1=O)OC1C(O)C(CCl)OC12"	0
"Drug 9999"	"Br.NCCOc1c2occc2cc2ccc(=O)oc12"	0
"Drug 10000"	"O=C(O)COc1c2occc2cc2ccc(=O)oc12"	0
"Drug 10001"	"CCOC(COc1c2occc2cc2ccc(=O)oc12)OCC"	0
"Drug 10002"	"O=c1ccc2cc3ccoc3c(OCCCCCCCCCCCCOc3c4occc4cc4ccc(=O)oc34)c2o1"	0
"Drug 10003"	"O=c1ccc2cc3ccoc3c(OCCOCCOCCOCCOc3c4occc4cc4ccc(=O)oc34)c2o1"	0
"Drug 10004"	"Br.CCN(CC)CC(C)(C)C(=O)C=Cc1ccc(C=CC(=O)C(C)(C)CN(CC)CC)cc1"	0
"Drug 10005"	"Cc1ccc(S(=O)(=O)O)cc1.NC(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1"	0
"Drug 10006"	"NC1CCCCC1.O=C(CP(=O)(O)O)NC(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1"	0
"Drug 10007"	"Nc1ccc2c(c1)Oc1ccc(N)cc1O2"	0
"Drug 10008"	"CN1Cc2ccccc2C2C(c3ccccc3)=NN(c3ccccc3)C21"	0
"Drug 10009"	"CCC1c2ccccc2C2C(c3ccccc3)=NN(c3ccccc3)C2N1CC"	0
"Drug 10010"	"COc1ccc2c(c1)C=CC1OC(C(C)=O)(C(C)=O)C(C=O)=CN21"	0
"Drug 10011"	"O=C1CSC(=NN=Cc2nc3ccccc3c(=O)n2-c2ccc(Cl)cc2)N1c1ccccc1"	0
"Drug 10012"	"COc1nc2[nH]c(C)cc(=O)c2c2ccccc12"	0
"Drug 10013"	"COc1ccc(NC(=O)Oc2cc(C)c3ccc(=O)cc-3o2)c(OC)c1.COc1ccc(NC(=O)Oc2ccc3c(C)cc(=O)oc3c2)c(OC)c1"	0
"Drug 10014"	"O=C1c2ccccc2C(=O)N1CCc1ncc[nH]1"	0
"Drug 10015"	"COc1cccc(C2c3cc4c(cc3OC(C)(O)C2C)OCO4)c1O"	0
"Drug 10016"	"Cc1nc2c(nc1C)C(=O)C1=C(C2=O)C2C=CC1CC2"	0
"Drug 10017"	"COC12C=CC(CC1)C1=C2C(=O)c2nc(C)c(C)nc2C1=O"	0
"Drug 10018"	"COC12C=CC(CC1)c1c2c(O)c2nc(C)c(C)nc2c1O"	0
"Drug 10019"	"Cc1nc2c(nc1C)C(=O)c1ccccc1C2=O"	0
"Drug 10020"	"Oc1nnc(Cl)c2c(O)c3ccccc3c(O)c12"	0
"Drug 10021"	"OC(CN(Cc1nc2ccccc2[nH]1)Cc1nc2ccccc2[nH]1)CN(Cc1nc2ccccc2[nH]1)Cc1nc2ccccc2[nH]1"	0
"Drug 10022"	"CC1=CC(O)CC(C)=CC(O)C(=O)C=CC2C(CC1)C2(C)C"	0
"Drug 10023"	"CNC(=O)OCc1nc(SC)n(C)c1COC(=O)NC.Cl"	0
"Drug 10024"	"Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O"	1
"Drug 10025"	"Nc1ccc(SSc2ccc(Nc3ccnc4cc(Cl)ccc34)cc2)cc1"	0
"Drug 10026"	"O=C1CC2(CCc3ccccc32)C(=O)N1CN1CCN(c2ccccn2)CC1"	0
"Drug 10027"	"COc1cc(-c2nn3c(C)c(-c4ccccc4)nc3s2)cc(OC)c1OC"	1
"Drug 10028"	"Brc1ccc(-c2nc3sc(-c4ccc5c(c4)OCO5)nn3c2Br)cc1"	0
"Drug 10029"	"O=Cc1c(-c2ccccc2)nc2sc(-c3ccc4c(c3)OCO4)nn12"	0
"Drug 10030"	"O=C1NC2C=CN(Cc3ccccc3)C=C2C(=O)N2CCCC12"	0
"Drug 10031"	"O=C(N=C1C(=O)C2(CCCCC2)C2(N=C(c3ccccc3)OC2=O)C12CCCCC2)c1ccccc1"	0
"Drug 10032"	"Cc1cccc(C2=NC(=C3CCCCC3)C(=O)O2)c1"	0
"Drug 10033"	"CC(=O)Nc1c(Nc2ccc3c(O)nccc3c2C)ccnc1O"	0
"Drug 10034"	"COc1ccc(Nc2ccnc(O)c2NC(C)=O)cc1"	0
"Drug 10035"	"CNc1ccnc(O)c1NC(C)=O"	0
"Drug 10036"	"ClCc1ccc2ccc3ccc(CCl)nc3c2n1"	0
"Drug 10037"	"BrCc1ccc2ccc3ccc(CBr)nc3c2n1"	0
"Drug 10038"	"Cc1ccc2c(c1)C1(SC(C)C(=O)N1c1ccc(Br)cc1)C(=O)N2"	0
"Drug 10039"	"CCc1ccc(N2C(=O)C(CC(=O)O)SC23C(=O)N(Cc2ccccc2)c2ccccc23)cc1"	0
"Drug 10040"	"O=C(O)CC1SC2(C(=O)N(Cc3ccccc3)c3ccccc32)N(c2ccccc2)C1=O"	0
"Drug 10041"	"Cc1ccc2c(c1)C1(SCCC(=O)N1c1ccc(Cl)cc1)C(=O)N2"	0
"Drug 10042"	"COC(=O)C(=CNC(N)=O)C(=O)OC"	0
"Drug 10043"	"COC(=O)c1cnc(O)nc1O"	0
"Drug 10044"	"COC(=O)C1(F)C(=O)NC(=O)NC1O"	0
"Drug 10045"	"CCn1ncc(N=O)c1N.Cl"	0
"Drug 10046"	"CCn1ncc(N=O)c1N"	0
"Drug 10047"	"CCn1ncc2c1nc(-c1ccccc1)c[n+]2[O-]"	0
"Drug 10048"	"CC1OC(Oc2c(-c3ccc(O)c(O)c3O)oc3cc(O)ccc3c2=O)C(O)C(O)C1O"	0
"Drug 10049"	"CC1OC(OC2C(Oc3c(-c4ccc(O)c(O)c4O)oc4cc(O)ccc4c3=O)OC(CO)C(O)C2O)C(O)C(O)C1O"	0
"Drug 10050"	"O=c1c(-c2cccc(O)c2O)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12"	0
"Drug 10051"	"CC1OC(Oc2ccc3c(=O)c(-c4ccc(O)cc4)coc3c2)C(O)C(O)C1O"	0
"Drug 10052"	"CC1OC(OC2C(Oc3ccc4c(=O)c(-c5ccc(O)c(O)c5O)coc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O"	0
"Drug 10053"	"OC12C=CC(CCCC1)O2"	0
"Drug 10054"	"OC1(O)C=CCCCCCC=C1"	0
"Drug 10055"	"S=c1nnn(C2CCCN2)[nH]1"	0
"Drug 10056"	"Cc1ccc(S(=O)(=O)N2CCCC2C(=O)NNC(N)=S)cc1"	0
"Drug 10057"	"COc1cc2c(c(C(C)(C)C)c1)OC1(O)C2=CC(=O)C=C1C(C)(C)C"	0
"Drug 10058"	"CC(C)C12OC1CC13OC1C(O)CCC32O"	0
"Drug 10059"	"CC(C)C12OC1CC13OC1C1OC1C1OC132"	0
"Drug 10060"	"O=C(O)c1ccc2c(c1)S(=O)(=O)NC2=O"	0
"Drug 10061"	"Cc1ccc2c(c1)S(=O)(=O)NC2=O"	0
"Drug 10062"	"CC1C2c3ccccc3C(c3ccccc32)C1CN1C(CCO)COC1c1ccccc1"	0
"Drug 10063"	"CCOC(=O)C1C(=O)C(C(=O)OC)C2CCCC3CCCC1N32"	0
"Drug 10064"	"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1"	0
"Drug 10065"	"Cc1csc2nc(=N[N+](=O)[O-])sn12"	0
"Drug 10066"	"O=[N+]([O-])N=c1nc2scc(-c3ccc([N+](=O)[O-])cc3)n2s1"	0
"Drug 10067"	"O=C1OC(OCC(Br)=C(Br)COC2OC(=O)C(Cl)=C2Cl)C(Cl)=C1Cl"	0
"Drug 10068"	"O=C1OC(OCC#CCOC2OC(=O)C(Cl)=C2Cl)C(Cl)=C1Cl"	0
"Drug 10069"	"Cc1ccc(-c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)cn1"	0
"Drug 10070"	"[N-]=[N+]=NCN1C(=O)C2C3C=CC(C2C1=O)C1C2C(=O)N(CN=[N+]=[N-])C(=O)C2C31"	0
"Drug 10071"	"C[n+]1c(-c2ccc(C=CC=NNC(=O)c3ccc(C(=O)NN=CC=Cc4ccc(-c5cn6ccccc6[n+]5C)cc4)cc3)cc2)cn2ccccc21.Cc1ccc(S(=O)(O)=[OH+])cc1"	0
"Drug 10072"	"CCCCSc1ccc2n(c1)cc(-c1ccc(C=NNC(=O)c3ccc(C(=O)NN=Cc4ccc(-c5cn6cc(SCCCC)ccc6[n+]5C)cc4)cc3)cc1)[n+]2C.Cc1ccc(S(=O)(O)=[OH+])cc1"	0
"Drug 10073"	"C[n+]1c(-c2ccc(C=NNC(=N)NCCCCCCNC(=N)NN=Cc3ccc(-c4cn5ccccc5[n+]4C)cc3)cc2)cn2ccccc21.I.[I-]"	1
"Drug 10074"	"C[n+]1c(-c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(-c5cn6ccccc6[n+]5C)cc4)cc3)cc2)cn2ccccc21.Cc1ccc(S(=O)(O)=[OH+])cc1"	1
"Drug 10075"	"O=C1c2ccccc2-c2cc3ccccc3c(=O)n21"	0
"Drug 10076"	"O=c1c(Cl)c(O)ccn1C1OC(CO)C(O)C1O"	0
"Drug 10077"	"O=C(CCCNC(=O)OCc1ccccc1)OCc1ccc2c(c1)C(=O)c1ccccc1C2=O"	0
"Drug 10078"	"CCOC(=O)CC(=O)N(c1ccc(OC)cc1)C(C(=O)OC)c1ccccc1"	0
"Drug 10079"	"COC(=O)C(Nc1ccc(OC)cc1)c1ccccc1"	0
"Drug 10080"	"CS1(C)=NC(=O)C2=C(N=1)c1ccccc1S2(=O)=O"	0
"Drug 10081"	"CS1(C)=NC(=O)c2cc([N+](=O)[O-])ccc2N=1"	0
"Drug 10082"	"CS1(C)=Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2S(=O)(=O)N=1"	0
"Drug 10083"	"N#Cc1c(=O)[nH]c(=O)n2c1[nH]c1ccccc12"	0
"Drug 10084"	"O=NNc1ccc(S(=O)(=O)c2ccc3ccccc3c2)cn1.[NaH]"	0
"Drug 10085"	"O=NNc1ccc(S(=O)c2ccccc2)cn1.[NaH]"	0
"Drug 10086"	"CC=C1CN2C3CC1C1(C(=O)OC)C2CC2(c4cc(OC)ccc4N(C)C32)C1OC(C)=O"	0
"Drug 10087"	"C=C(CN(C)C)C(=O)c1ccc(OC)cc1.Cl"	0
"Drug 10088"	"C=C(CN(C)C)C(=O)c1ccc(Oc2ccccc2)cc1.Cl"	0
"Drug 10089"	"COc1ccc(C(=O)C(CN2CCOCC2)CN2CCOCC2)cc1.Cl"	0
"Drug 10090"	"Cc1ccc(S(=O)(=O)NC(=O)NC2=NC(C)(C)N(c3ccc(Cl)c(Cl)c3)C(=N)N2)cc1"	0
"Drug 10091"	"O=c1[nH]c2ccc(O)cc2o1"	0
"Drug 10092"	"Nc1cc(-c2ccc(Cl)cc2)nn1-c1nnc2c(n1)[nH]c1ccccc12"	0
"Drug 10093"	"Cn1c2ccccc2c2nnc(-n3nc(-c4ccccc4)cc3N)nc21"	0
"Drug 10094"	"Cn1c2ccccc2c2nnc(-n3nc(-c4ccc(Br)cc4)cc3N)nc21"	0
"Drug 10095"	"O=C(c1ccc(Cl)cc1)c1cnc2nc(-c3ccccc3)c(-c3ccccc3)nn12"	0
"Drug 10096"	"C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1c2cc(O)c(O)cc2CCN1C(C)=O"	0
"Drug 10097"	"O=c1c(Cl)nsnc1Cl"	0
"Drug 10098"	"CCOC(=O)n1c2ccccc2c(=O)n1CCO"	0
"Drug 10099"	"O=[N+]([O-])c1ccc2c(c1)C(N1CCN(CCO)CC1)Cc1ccc(F)cc1S2"	0
"Drug 10100"	"O=C1CSCc2sccc21"	0
"Drug 10101"	"CC(=O)OC1CCC2(C)C3CCC4(C)C(C(C)CCCC(C)C)CCC4C3(C=NO)n3c(=O)n(-c4ccccc4)c(=O)n3C2(C=NO)C1"	0
"Drug 10102"	"CC(=O)OC1CCC2(C)C3CCC4(C)C(C(C)CCCC(C)C)CCC4C3(C#N)n3c(=O)n(-c4ccccc4)c(=O)n3C2(C#N)C1"	0
"Drug 10103"	"COC(=O)C1=NOC2C(=O)N(c3ccccc3)C(=O)C12"	0
"Drug 10104"	"O=NNc1nc(-c2cccnc2)nc2ccccc12.[NaH]"	0
"Drug 10105"	"COc1cc([N+](=O)[O-])c(OC)c2c(O)nc(O)nc12"	0
"Drug 10106"	"Br.CCN(CC)CCN(C)CC(C)(C)C(=O)C=Cc1ccccc1"	0
"Drug 10107"	"Cc1cc2c(cc1C)NS(=O)(=O)N2"	0
"Drug 10108"	"C=C(C)C(=O)N1c2ccc(OC)cc2CC1C(=O)OCC"	0
"Drug 10109"	"CC(CSC(=O)c1ccccc1)C(=O)N1c2ccccc2CC1C(=O)O"	0
"Drug 10110"	"CC(CS)C(=O)N1c2ccccc2CC1C(=O)O"	0
"Drug 10111"	"COC(=O)CN1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O"	0
"Drug 10112"	"COC(=O)CN1C(=O)c2cccc3cc(N)cc(c23)C1=O"	0
"Drug 10113"	"COC(=O)C1=C(O)c2cc(C)c(C)c(C#N)c2NC(=O)C1"	0
"Drug 10114"	"NC(=O)c1cccc(OCC(O)CO)c1"	0
"Drug 10115"	"O=C(C=CC(Cl)(Cl)Cl)Nc1ccc(Cl)cc1"	0
"Drug 10116"	"C1SSCC2=C1CSSC2"	0
"Drug 10117"	"CC1(C)C=Cc2c(ccc3c(=O)c(-c4ccccc4)coc23)O1"	0
"Drug 10118"	"Cc1c2c(c(C)c3c1C(=O)c1cc4c(cc1C3=O)OCO4)OCO2"	0
"Drug 10119"	"COC(=O)c1c2c(cc3nc4ccccc4nc13)OCO2"	0
"Drug 10120"	"COc1ccc(-c2coc3cc(OC)cc(O)c3c2=O)cc1"	0
"Drug 10121"	"O=C(c1ccccc1)N1OCCCc2ccccc21"	0
"Drug 10122"	"CN1C(=O)N(C)P(=O)(c2ccccc2)P1c1ccccc1"	0
"Drug 10123"	"Cc1cc2[nH]c3c(C#N)c(O)c(C)c(=O)n3c2cc1C"	0
"Drug 10124"	"c1ccc2c(c1)[nH]c1c3ccccc3sc21"	0
"Drug 10125"	"CN=C1OC2(c3ccccc3)C3=C(OC(=NC)N2C)C(=O)OC3(c2ccccc2)N1C"	0
"Drug 10126"	"Cl.c1cnc2c(c1)-n1cccc1C1(CCCCC1)NN2"	0
"Drug 10127"	"CC(=O)OC1CC2C(=S)Nc3cc4c(cc3C(=O)N2C1)OCO4"	0
"Drug 10128"	"CSC1=Nc2cc3c(cc2C(=O)N2CC(OC(C)=O)CC12)OCO3"	0
"Drug 10129"	"C=CCC12CC(COc3ccccc3C(N)=O)OC1=Nc1ccccc1NC2=O"	0
"Drug 10130"	"C=CCC12CC(C)OC1=Nc1ccccc1NC2=O"	0
"Drug 10131"	"CCN(CC)CCC12CC(C)OC1=Nc1ccccc1NC2=O"	0
"Drug 10132"	"O=S1(=O)CCC2=CC(C(F)(F)F)=CC(C(F)(F)F)=CN21"	0
"Drug 10133"	"NNC(=O)C1C(C(=O)NN)C2C3C=CC(C4C(=O)NC(=O)C34)C12"	0
"Drug 10134"	"N#Cc1cnn2cc[nH]c12"	0
"Drug 10135"	"N#Cc1nn(C(N)=O)c(N)c1C#N"	0
"Drug 10136"	"N#Cc1nn(C2OC(COC(=O)c3ccccc3)C(OC(=O)c3ccccc3)C2OC(=O)c2ccccc2)c2ncnc(O)c12"	0
"Drug 10137"	"COCCNc1cncc(C(N)=O)c1"	0
"Drug 10138"	"CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C"	0
"Drug 10139"	"O=NNc1nc(-c2ccccn2)nc2ccccc12.[NaH]"	0
"Drug 10140"	"Cl.O=C1c2ccccc2C(=O)N1CCc1ncc(-c2ccccc2)[nH]1"	0
"Drug 10141"	"COc1nc(O)cc(NC2OC(CO)C(O)C(O)C2O)n1"	0
"Drug 10142"	"COc1nc(NC2OCC(O)C(O)C2O)cc(=O)n1C"	0
"Drug 10143"	"COc1nc(NC2OC(CO)C(O)C(O)C2O)cc(=O)n1C"	0
"Drug 10144"	"CSc1nc(O)cc(NC2OCC(O)C(O)C2O)n1"	0
"Drug 10145"	"CSc1nc(O)cc(NC2OC(CO)C(O)C(O)C2O)n1"	0
"Drug 10146"	"CSc1nc(NC2OCC(O)C(O)C2O)cc(=O)n1C"	0
"Drug 10147"	"CSc1nc(NC2OC(CO)C(O)C(O)C2O)cc(=O)n1C"	0
"Drug 10148"	"Cl.Nc1ccc2cc3ccc(N)cc3nc2c1"	0
"Drug 10149"	"CCC(C)(C)c1ccc(OCCCCNC(=O)c2ccc3ccccc3c2O)c(C(C)(C)CC)c1"	0
"Drug 10150"	"CCCC(=O)Nc1cc([N+](=O)[O-])c([N+](=O)[O-])cc1OC"	0
"Drug 10151"	"COc1cc([N+](=O)[O-])c(S(=O)(=O)O)cc1N"	0
"Drug 10152"	"COc1cc([N+](=O)[O-])ccc1NC(=O)C(F)(F)F"	0
"Drug 10153"	"COc1ccc(S(=O)(=O)O)cc1N=NC(=NNc1cc(S(=O)(=O)O)ccc1OC)C(=O)Nc1ccccc1.[NaH]"	0
"Drug 10154"	"Oc1ccccc1C=NCCSSCCN=Cc1ccccc1O"	0
"Drug 10155"	"CCOC(=O)C1=CC(C(=O)OCC)=C2C=CC=C3C=CC=C1N32"	0
"Drug 10156"	"C#CC(C)(C)Oc1ccc2c(=O)c(-c3ccc(OC)cc3)coc2c1"	0
"Drug 10157"	"C#CC(C)(C)Oc1ccc2c(=O)c(-c3ccc(OC)c(OC)c3)coc2c1"	0
"Drug 10158"	"C#CC(C)(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1"	0
"Drug 10159"	"COc1ccc2c(=O)c(-c3ccc(OC)c(OC)c3)c(C)oc2c1"	0
"Drug 10160"	"COc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1"	0
"Drug 10161"	"COc1ccc2c(=O)c(-c3ccc4c(c3)OCO4)c(C)oc2c1"	0
"Drug 10162"	"COc1cc(C)c(O)c(CC=C(C)CC2=CC3(C)CCCC3(C)C3(C=CC(C)(C)O3)O2)c1"	0
"Drug 10163"	"CC1COC(c2cn[nH]c2C(N)=O)C1O"	0
"Drug 10164"	"C=C1C(OC(C)=O)CC2CC3(C)C(OC(C)=O)CC(C)(C)C3C12O"	0
"Drug 10165"	"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccc(CO)cc3nc2-1"	0
"Drug 10166"	"CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc4c(cc3nc2-1)OCO4"	0
"Drug 10167"	"CC1(C)S(=O)(=O)OCCOS1(=O)=O"	0
"Drug 10168"	"Cc1ccc(S(=O)(=O)O)cc1.c1ccc(NNC2=NCCN2)cc1"	0
"Drug 10169"	"[O-][N+]1=Cc2ccc(O)c(O)c2[OH+][Cu-3]12[OH+]c1c(ccc(O)c1O)C=[N+]2[O-]"	0
"Drug 10170"	"N#Cc1c(-c2ccccc2)cn2c1[nH]c(=O)c1ccccc12"	0
"Drug 10171"	"COc1ccc(-c2cn3c([nH]c(=O)c4cc(Br)ccc43)c2C#N)cc1"	0
"Drug 10172"	"Cc1sc2c(c1C)c(=O)[nH]c1c(C#N)c(-c3ccc(Cl)cc3)cn12"	0
"Drug 10173"	"O=S(=O)(c1ccccn1)c1nc2ccccc2s1"	0
"Drug 10174"	"O=c1c2ccccc2sc2cccc(NCCCN3CCN(CCCNc4cccc5sc6ccccc6c(=O)c45)CC3)c12"	0
"Drug 10175"	"Cc1ccc(NCCCN2CCN(CCCNc3ccc(C)c4sc5ccccc5c(=O)c34)CC2)c2c(=O)c3ccccc3sc12"	0
"Drug 10176"	"C=C1CC(C)(Cn2cnc3c(N)ncnc32)OC1=O"	0
"Drug 10177"	"C=C1CC(C)(Cn2c(=N)[nH]c3[nH]cnc3c2=O)OC1=O"	0
"Drug 10178"	"CCNCC(=O)OC1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1.Cl"	0
"Drug 10179"	"CCCNCC(=O)OC1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1.Cl"	0
"Drug 10180"	"CCCCNCC(=O)OC1(CC)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1.Cl"	0
"Drug 10181"	"COc1c2c3c(ccnc3c3ccccc13)C(=O)N2C"	0
"Drug 10182"	"O=P1(c2ccccc2)C=C(c2ccccc2)NC(c2ccccc2)=C1"	0
"Drug 10183"	"CCN(CC)P1(=O)C=C(C)C2C1C1C=C(C)C2P1(=O)N(CC)CC"	0
"Drug 10184"	"CN1NC(=O)SC(=O)c2ccccc2C1=O"	0
"Drug 10185"	"COc1cc([N+](=O)[O-])c([N+](=O)[O-])cc1N"	0
"Drug 10186"	"COc1ccc(S(=O)(=O)O)cc1NS(=O)(=O)c1ccc(C)cc1.[NaH]"	0
"Drug 10187"	"COc1cc([N+](=O)[O-])c(S(=O)(=O)O)cc1NS(=O)(=O)c1ccc(C)cc1.[NaH]"	0
"Drug 10188"	"CC1=NC(C)(COC(=O)C2(C)NC(C)(CO)CO2)COC1=O"	0
"Drug 10189"	"COc1ccc(S(=O)(=O)O)cc1-n1nc(C(=O)Nc2ccccc2)n[n+]1-c1cc(S(=O)(O)=[OH+])ccc1OC.[NaH]"	0
"Drug 10190"	"N#Cc1cnn2ccn(C3OC(COC(=O)c4ccccc4)C(OC(=O)c4ccccc4)C3OC(=O)c3ccccc3)c12"	0
"Drug 10191"	"CN(C)CCN(C)CCC(=O)C=Cc1ccccc1.Cl"	0
"Drug 10192"	"COc1ccc(N=C2SCC(=O)N2NC(=O)CN2C(=O)c3ccccc3C2=O)cc1"	0
"Drug 10193"	"Cc1cc2c(=O)c3ccccc3oc2c(C(=O)O)c1C"	0
"Drug 10194"	"Cc1cc2c(=O)cc(-c3ccccc3Cl)oc2c(C(=O)O)c1C"	0
"Drug 10195"	"CC12OC(=O)C(C(N)=O)=C1C=C(c1ccccc1)CC2c1ccccc1"	0
"Drug 10196"	"CC1=C(C#N)C(=O)OC1(C)C(CC(=O)c1ccccc1)c1ccccc1"	0
"Drug 10197"	"CC1=CC2=C(C#N)C(=O)OC2(C)C(c2ccccc2)C1"	0
"Drug 10198"	"CC1=CC2=C(C(N)=O)C(=O)OC2(C)C(c2ccccc2)C1"	0
"Drug 10199"	"CC1=C(C#N)C(=N)OC1(C)C1CC(=O)C=CC1=O"	0
"Drug 10200"	"COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(OC(=O)CN(C)C)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C.CS(=O)(=O)O"	0
