DrugBank ID,Name,Drug Groups,SMILES,Formula,ChemSpider ID,Wikipedia ID
DB00785,Cryptenamine,approved,,,,Cryptenamine
DB00787,Acyclovir,approved,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,C8H11N5O3,1945.0,Aciclovir
DB00788,Naproxen,approved; vet_approved,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,C14H14O3,137720.0,Naproxen
DB00789,Gadopentetic acid,approved,[Gd+3].OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O,C14H20GdN3O10,138549.0,Gadopentetic_acid
DB00790,Perindopril,approved,[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,C19H32N2O5,96956.0,Perindopril
DB00791,Uracil mustard,approved,ClCCN(CCCl)C1=CNC(=O)NC1=O,C8H11Cl2N3O2,5959.0,Uramustine
DB00792,Tripelennamine,approved; vet_approved,CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1,C16H21N3,5385.0,Tripelennamine
DB00793,Haloprogin,approved; withdrawn,ClC1=CC(Cl)=C(Cl)C=C1OCC#CI,C9H4Cl3IO,3440.0,Haloprogin
DB00794,Primidone,approved; vet_approved,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,C12H14N2O2,4740.0,Primidone
DB00795,Sulfasalazine,approved,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,C18H14N4O5S,10605946.0,Sulfasalazine
DB00796,Candesartan cilexetil,approved,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1,C33H34N6O6,2444.0,Candesartan
DB00797,Tolazoline,approved; vet_approved,C(C1=NCCN1)C1=CC=CC=C1,C10H12N2,5303.0,Tolazoline
DB00798,Gentamicin,approved; vet_approved,[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,C60H123N15O21,8074297.0,Gentamicin
DB00799,Tazarotene,approved; investigational,CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1,C21H21NO2S,5188.0,Tazarotene
DB00800,Fenoldopam,approved,OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12,C16H16ClNO3,3224.0,Fenoldopam
DB00801,Halazepam,approved; illicit; withdrawn,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,C17H12ClF3N2O,29343.0,Halazepam
DB00802,Alfentanil,approved; illicit,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,C21H32N6O3,46451.0,Alfentanil
DB00803,Colistin,approved,CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)C(NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,C52H98N16O13,,Colistin
DB00804,Dicyclomine,approved,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,C19H35NO2,2934.0,Dicycloverine
DB00805,Minaprine,approved,CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1,C17H22N4O,4054.0,Minaprine
DB00806,Pentoxifylline,approved; investigational,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,C13H18N4O3,4578.0,Pentoxifylline
DB00807,Proparacaine,approved; vet_approved,CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC,C16H26N2O3,4766.0,Proxymetacaine
DB00808,Indapamide,approved,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,C16H16ClN3O3S,3574.0,Indapamide
DB00809,Tropicamide,approved; investigational,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,C17H20N2O2,5391.0,Tropicamide
DB00810,Biperiden,approved; investigational,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,C21H29NO,2289.0,Biperiden
DB00811,Ribavirin,approved,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C8H12N4O5,34439.0,Ribavirin
DB00812,Phenylbutazone,approved; vet_approved,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,C19H20N2O2,4617.0,Phenylbutazone
DB00813,Fentanyl,approved; illicit; investigational; vet_approved,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,C22H28N2O,3228.0,Fentanyl
DB00814,Meloxicam,approved; vet_approved,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,C14H13N3O4S2,10442740.0,Meloxicam
DB00816,Orciprenaline,approved,CC(C)NCC(O)C1=CC(O)=CC(O)=C1,C11H17NO3,3944.0,Orciprenaline
DB00817,Rosoxacin,approved; investigational,CCN1C=C(C(O)=O)C(=O)C2=C1C=C(C=C2)C1=CC=NC=C1,C17H14N2O3,253208.0,Rosoxacin
DB00818,Propofol,approved; investigational; vet_approved,CC(C)C1=CC=CC(C(C)C)=C1O,C12H18O,4774.0,Propofol
DB00819,Acetazolamide,approved; vet_approved,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,C4H6N4O3S2,1909.0,Acetazolamide
DB00820,Tadalafil,approved; investigational,[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1,C22H19N3O4,99301.0,Tadalafil
DB00821,Carprofen,approved; vet_approved; withdrawn,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,C15H12ClNO2,2483.0,Carprofen
DB00822,Disulfiram,approved,CCN(CC)C(=S)SSC(=S)N(CC)CC,C10H20N2S4,3005.0,Disulfiram
DB00823,Ethynodiol diacetate,approved,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CC[C@H](OC(C)=O)C=C3CC[C@@]21[H],C24H32O4,8913.0,Etynodiol_diacetate
DB00824,Enprofylline,approved; experimental,CCCN1C2=C(NC=N2)C(=O)NC1=O,C8H10N4O2,1613.0,Enprofylline
DB00825,Levomenthol,approved,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,C10H20O,15803.0,Menthol
DB00826,Natamycin,approved,[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(C[C@@H](O[C@]4([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@@]1([H])O2)O3,C33H47NO13,10468784.0,Natamycin
DB00827,Cinoxacin,approved; investigational; withdrawn,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,C12H10N2O5,2660.0,Cinoxacin
DB00828,Fosfomycin,approved,C[C@@H]1O[C@@H]1P(O)(O)=O,C3H7O4P,394204.0,Fosfomycin
DB00829,Diazepam,approved; illicit; investigational; vet_approved,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,C16H13ClN2O,2908.0,Diazepam
DB00830,Phenmetrazine,approved; illicit,CC1NCCOC1C1=CC=CC=C1,C11H15NO,4598.0,Phenmetrazine
DB00831,Trifluoperazine,approved; investigational,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,C21H24F3N3S,5365.0,Trifluoperazine
DB00832,Phensuximide,approved,CN1C(=O)CC(C1=O)C1=CC=CC=C1,C11H11NO2,6578.0,Phensuximide
DB00833,Cefaclor,approved,[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,C15H14ClN3O4S,46260.0,Cefaclor
DB00834,Mifepristone,approved; investigational,[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],C29H35NO2,49889.0,Mifepristone
DB00835,Brompheniramine,approved,CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,C16H19BrN2,6573.0,Brompheniramine
DB00836,Loperamide,approved,CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C29H33ClN2O2,3818.0,Loperamide
DB00838,Clocortolone,approved,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C22H28ClFO4,4470589.0,Clocortolone
DB00839,Tolazamide,approved; investigational,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,C14H21N3O3S,5302.0,Tolazamide
DB00840,Hydroxypropyl cellulose,approved,,,,Hydroxypropyl_cellulose
DB00841,Dobutamine,approved,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1,C18H23NO3,33786.0,Dobutamine
DB00842,Oxazepam,approved,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,C15H11ClN2O2,4455.0,Oxazepam
DB00843,Donepezil,approved,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,C24H29NO3,3040.0,Donepezil
DB00844,Nalbuphine,approved,O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5,C21H27NO4,4470813.0,Nalbuphine
DB00845,Clofazimine,approved; investigational,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,C27H22Cl2N4,2692.0,Clofazimine
DB00846,Flurandrenolide,approved,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,C24H33FO6,14475.0,Fludroxycortide
DB00847,Cysteamine,approved; investigational,NCCS,C2H7NS,5834.0,Cysteamine
DB00848,Levamisole,approved; investigational; vet_approved; withdrawn,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,C11H12N2S,25037.0,Levamisole
DB00849,Methylphenobarbital,approved,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,C13H14N2O3,7972.0,Methylphenobarbital
DB00850,Perphenazine,approved,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,C21H26ClN3OS,4586.0,Perphenazine
DB00851,Dacarbazine,approved; investigational,CN(C)\N=N\C1=C(N=CN1)C(N)=O,C6H10N6O,10481959.0,Dacarbazine
DB00852,Pseudoephedrine,approved,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,C10H15NO,6761.0,Pseudoephedrine
DB00853,Temozolomide,approved; investigational,CN1N=NC2=C(N=CN2C1=O)C(N)=O,C6H6N6O2,5201.0,Temozolomide
DB00854,Levorphanol,approved,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2,C17H23NO,16736212.0,Levorphanol
DB00855,Aminolevulinic acid,approved,NCC(=O)CCC(O)=O,C5H9NO3,134.0,Aminolevulinic_acid
DB00856,Chlorphenesin,approved; experimental,OCC(O)COC1=CC=C(Cl)C=C1,C9H11ClO3,7411.0,Chlorphenesin_carbamate
DB00857,Terbinafine,approved; investigational; vet_approved,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,C21H25N,1266005.0,Terbinafine
DB00859,Penicillamine,approved,[H][C@](N)(C(O)=O)C(C)(C)S,C5H11NO2S,5643.0,Penicillamine
DB00860,Prednisolone,approved; vet_approved,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H28O5,5552.0,Prednisolone
DB00861,Diflunisal,approved; investigational,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,C13H8F2O3,2951.0,Diflunisal
DB00862,Vardenafil,approved,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1,C23H32N6O4S,99300.0,Vardenafil
DB00863,Ranitidine,approved; withdrawn,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,C13H22N4O3S,4863.0,Ranitidine
DB00864,Tacrolimus,approved; investigational,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,C44H69NO12,393220.0,Tacrolimus
DB00865,Benzphetamine,approved; illicit,C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1,C17H21N,4470556.0,Benzphetamine
DB00867,Ritodrine,approved; investigational,C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,C17H21NO3,599993.0,Ritodrine
DB00868,Benzonatate,approved,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,C30H53NO11,7413.0,Benzonatate
DB00869,Dorzolamide,approved,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,C10H16N2O4S3,4447604.0,Dorzolamide
DB00870,Suprofen,approved; withdrawn,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,C14H12O3S,5166.0,Suprofen
DB00871,Terbutaline,approved,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,C12H19NO3,5210.0,Terbutaline
DB00872,Conivaptan,approved; investigational,CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,C32H26N4O2,133239.0,Conivaptan
DB14596,Loteprednol etabonate,approved,[H][C@@]12CC[C@](OC(=O)OCC)(C(=O)OCCl)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C24H31ClO7,392049.0,Loteprednol
DB00874,Guaifenesin,approved; investigational; vet_approved,COC1=CC=CC=C1OCC(O)CO,C10H14O4,3396.0,Guaifenesin
DB00875,Flupentixol,approved; investigational; withdrawn,[H]\C(CCN1CCN(CCO)CC1)=C1/C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,C23H25F3N2OS,4445173.0,Flupentixol
DB00876,Eprosartan,approved,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,C23H24N2O4S,4444504.0,Eprosartan
DB00877,Sirolimus,approved; investigational,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,C51H79NO13,10482078.0,Sirolimus
DB00878,Chlorhexidine,approved; vet_approved,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,C22H30Cl2N10,2612.0,Chlorhexidine
DB00879,Emtricitabine,approved; investigational,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,C8H10FN3O3S,54859.0,Emtricitabine
DB00880,Chlorothiazide,approved; vet_approved,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1,C7H6ClN3O4S2,2619.0,Chlorothiazide
DB00881,Quinapril,approved; investigational,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O,C25H30N2O5,49565.0,Quinapril
DB00882,Clomifene,approved; investigational,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,C26H28ClNO,2698.0,Clomifene
DB00883,Isosorbide dinitrate,approved; investigational,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,C6H8N2O8,6619.0,Isosorbide_dinitrate
DB00884,Risedronic acid,approved; investigational,OC(CC1=CN=CC=C1)(P(O)(O)=O)P(O)(O)=O,C7H11NO7P2,5055.0,Risedronic_acid
DB00885,Pemirolast,approved; investigational,CC1=CC=CN2C(=O)C(=CN=C12)C1=NNN=N1,C10H8N6O,51990.0,Pemirolast
DB00887,Bumetanide,approved,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,C17H20N2O5S,2377.0,Bumetanide
DB00888,Mechlorethamine,approved; investigational,CN(CCCl)CCCl,C5H11Cl2N,3893.0,Chlormethine
DB00889,Granisetron,approved; investigational,CN1N=C(C(=O)N[C@@H]2C[C@@H]3CCC[C@H](C2)N3C)C2=C1C=CC=C2,C18H24N4O,10482033.0,Granisetron
DB00890,Dienestrol,approved; investigational,[H]\C(C)=C(/C(=C(\[H])C)/C1=CC=C(O)C=C1)\C1=CC=C(O)C=C1,C18H18O2,580857.0,Dienestrol
DB00891,Sulfapyridine,approved,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,C11H11N3O2S,5145.0,Sulfapyridine
DB00892,Oxybuprocaine,approved; investigational,CCCCOC1=CC(=CC=C1N)C(=O)OCCN(CC)CC,C17H28N2O3,4472.0,Oxybuprocaine
DB00893,Iron Dextran,approved; vet_approved,,,,Iron_supplement
DB00894,Testolactone,approved; investigational,[H][C@@]12CCC3=CC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)OC(=O)CC[C@@]21[H],C19H24O3,13172.0,Testolactone
DB00895,Benzylpenicilloyl polylysine,approved,,C28H46N6O8S,26331550.0,Benzylpenicilloyl_polylysine
DB00896,Rimexolone,approved,[H][C@@]12C[C@@H](C)[C@](C)(C(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C24H34O3,4470902.0,Rimexolone
DB00897,Triazolam,approved; investigational,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12,C17H12Cl2N4,5355.0,Triazolam
DB00898,Ethanol,approved,CCO,C2H6O,682.0,Ethanol
DB00899,Remifentanil,approved,CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC,C20H28N2O5,54803.0,Remifentanil
DB00900,Didanosine,approved,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O,C10H12N4O3,45864.0,Didanosine
DB00902,Methdilazine,approved,CN1CCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1,C18H20N2S,14009.0,Methdilazine
DB00903,Etacrynic acid,approved; investigational,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,C13H12Cl2O4,3163.0,Etacrynic_acid
DB00904,Ondansetron,approved,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,C18H19N3O,4434.0,Ondansetron
DB00905,Bimatoprost,approved; investigational,CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCC1=CC=CC=C1,C25H37NO4,4470565.0,Bimatoprost
DB00906,Tiagabine,approved; investigational,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1,C20H25NO2S2,54661.0,Tiagabine
DB00907,Cocaine,approved; illicit,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C,C17H21NO4,10194104.0,Cocaine
DB00908,Quinidine,approved; investigational,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,C20H24N2O2,389880.0,Quinidine
DB00909,Zonisamide,approved; investigational,NS(=O)(=O)CC1=NOC2=CC=CC=C12,C8H8N2O3S,5532.0,Zonisamide
DB00910,Paricalcitol,approved; investigational,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)\C=C\[C@H](C)C(C)(C)O,C27H44O3,4444552.0,Paricalcitol
DB00911,Tinidazole,approved; investigational,CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O,C8H13N3O4S,5279.0,Tinidazole
DB00912,Repaglinide,approved; investigational,CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O,C27H36N2O4,59377.0,Repaglinide
DB00913,Anileridine,approved; illicit,CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1,C22H28N2O2,8600.0,Anileridine
DB00914,Phenformin,approved; investigational; withdrawn,NC(=N)NC(=N)NCCC1=CC=CC=C1,C10H15N5,7953.0,Phenformin
DB00915,Amantadine,approved,NC12CC3CC(CC(C3)C1)C2,C10H17N,2045.0,Amantadine
DB00916,Metronidazole,approved,CC1=NC=C(N1CCO)[N+]([O-])=O,C6H9N3O3,4029.0,Metronidazole
DB00917,Dinoprostone,approved,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,C20H32O5,4444059.0,Prostaglandin_E2
DB00918,Almotriptan,approved; investigational,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,C17H25N3O2S,110198.0,Almotriptan
DB00919,Spectinomycin,approved; investigational; vet_approved,[H][C@@]12O[C@H](C)CC(=O)[C@]1(O)O[C@]1([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@@]1([H])O2,C14H24N2O7,14785.0,Spectinomycin
DB00920,Ketotifen,approved,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12,C19H19NOS,3695.0,Ketotifen
DB00921,Buprenorphine,approved; illicit; investigational; vet_approved,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,C29H41NO4,559124.0,Buprenorphine
DB00922,Levosimendan,approved; investigational,C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1,C14H12N6O,2298414.0,Levosimendan
DB00923,Ceforanide,approved,[H][C@]12SCC(CSC3=NN=NN3CC(O)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1CN)C(O)=O,C20H21N7O6S2,39656.0,Ceforanide
DB00924,Cyclobenzaprine,approved,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12,C20H21N,2792.0,Cyclobenzaprine
DB00925,Phenoxybenzamine,approved,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1,C18H22ClNO,4604.0,Phenoxybenzamine
DB00927,Famotidine,approved,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,C8H15N7O2S3,3208.0,Famotidine
DB00928,Azacitidine,approved; investigational,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C8H12N4O5,9072.0,Azacitidine
DB00929,Misoprostol,approved,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,C22H38O5,4445541.0,Misoprostol
DB00930,Colesevelam,approved,,,,Colesevelam
DB00931,Metacycline,approved; investigational,[H][C@@]12[C@@H](O)[C@]3([H])C(=C)C4=C(C(O)=CC=C4)C(=O)C3=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C,C22H22N2O8,10468596.0,Metacycline
DB00932,Tipranavir,approved; investigational,[H][C@@](CC)(C1=CC(NS(=O)(=O)C2=NC=C(C=C2)C(F)(F)F)=CC=C1)C1=C(O)C[C@@](CCC)(CCC2=CC=CC=C2)OC1=O,C31H33F3N2O5S,10482313.0,Tipranavir
DB00933,Mesoridazine,approved; investigational,CN1CCCCC1CCN1C2=C(SC3=C1C=C(C=C3)S(C)=O)C=CC=C2,C21H26N2OS2,3936.0,Mesoridazine
DB00934,Maprotiline,approved; investigational,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21,C20H23N,3871.0,Maprotiline
DB00935,Oxymetazoline,approved; investigational,CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C,C16H24N2O,4475.0,Oxymetazoline
DB00936,Salicylic acid,approved; investigational; vet_approved,OC(=O)C1=CC=CC=C1O,C7H6O3,331.0,Salicylic_acid
DB00937,Diethylpropion,approved; illicit,CCN(CC)C(C)C(=O)C1=CC=CC=C1,C13H19NO,6762.0,Amfepramone
DB00938,Salmeterol,approved,OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1,C25H37NO4,4968.0,Salmeterol
DB00939,Meclofenamic acid,approved; vet_approved,CC1=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C(Cl)C=C1,C14H11Cl2NO2,3897.0,Meclofenamic_acid
DB00940,Methantheline,approved; investigational,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12,C21H26NO3,3955.0,Methantheline
DB00941,Hexafluronium,approved,C[N+](C)(CCCCCC[N+](C)(C)C1C2=C(C=CC=C2)C2=C1C=CC=C2)C1C2=C(C=CC=C2)C2=C1C=CC=C2,C36H42N2,3475.0,Hexafluronium_bromide
DB00942,Cycrimine,approved,OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1,C19H29NO,2808.0,Cycrimine
DB00943,Zalcitabine,approved; investigational,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,C9H13N3O3,22498.0,Zalcitabine
DB00944,Demecarium,approved,CN(CCCCCCCCCCN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,C32H52N4O4,5751.0,Demecarium_bromide
DB00945,Acetylsalicylic acid,approved; vet_approved,CC(=O)OC1=CC=CC=C1C(O)=O,C9H8O4,2157.0,Aspirin
